Oppo_OpportunityId,Oppo_PrimaryCompanyId,Oppo_PrimaryPersonId,Oppo_AssignedUserId,Oppo_ChannelId,Oppo_Description,Oppo_Type,Oppo_Product,Oppo_Source,Oppo_Note,Oppo_CustomerRef,Oppo_Opened,Oppo_Closed,Oppo_Status,Oppo_Stage,Oppo_Forecast,Oppo_Certainty,Oppo_Priority,Oppo_TargetClose,Oppo_CreatedBy,Oppo_CreatedDate,Oppo_UpdatedBy,Oppo_UpdatedDate,Oppo_TimeStamp,Oppo_Deleted,Oppo_Total,Oppo_NotifyTime,Oppo_SMSSent,Oppo_WaveItemId,Oppo_SecTerr,Oppo_WorkflowId,Oppo_LeadID,Oppo_Forecast_CID,Oppo_Total_CID,oppo_scenario,oppo_decisiontimeframe,oppo_Currency,oppo_TotalOrders_CID,oppo_TotalOrders,oppo_totalQuotes_CID,oppo_totalQuotes,oppo_NoDiscAmtSum,oppo_NoDiscAmtSum_CID,Oppo_PrimaryAccountId,oppo_SCRMcompetitor,oppo_SCRMwinner,oppo_SCRMreasonforloss,Oppo_SCRMIsCrossSell,Oppo_SCRMOriginalOppoId,oppo_TalendExterKey,oppo_obfuscated,oppo_note_qualif,oppo_Date_Q_Qualif,oppo_cout,oppo_cout_CID
6155,17493,19818,27,NULL,ASIC design,FTK,NULL,NULL,Projet indus+automotive avec 2 arm et analog,NULL,00:00.0,NULL,Abandonne,Identification,0,1,NULL,00:00.0,27,18:17.0,27,00:08.0,00:08.0,NULL,0,NULL,NULL,NULL,-2147483640,NULL,NULL,2,2,NULL,NULL,NULL,2,0,2,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,2
6156,3176,3278,31,1,CAIRPMU2,NULL,NULL,NULL,"Suite au diagnotic
Besoin de reprise Design + nouveau proto pour mise à dispo fin 2022",NULL,00:00.0,00:00.0,Won,Negotiating,848000,100,NULL,00:00.0,28,41:30.0,31,34:06.0,34:06.0,NULL,0,NULL,NULL,NULL,-2147483640,NULL,NULL,2,2,NULL,NULL,NULL,2,848000,2,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2
6157,3176,3278,27,1,Diagnostic PMU,Desogn_Service,NULL,NULL,"test du proto PMU de Cairdac (chip designé par Shortlink + université)

Modèle au temps passé.",NULL,00:00.0,00:00.0,Won,Negotiating,34000,100,NULL,00:00.0,28,43:42.0,27,06:12.0,06:12.0,NULL,0,34:30.0,NULL,NULL,-2147483640,NULL,NULL,2,2,NULL,NULL,NULL,2,0,2,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,2
6158,11904,19913,27,1,Design DCDC converter,Desogn_Service,NULL,NULL,"I need to enlarge the DC-DC converter portfolio of my business unit and I’m looking for some external support.

Our products can spread from battery supplied converters (so VIN<7V, load current few Amps, low quiescent current) to industrial and automotive application (VIN from 20V up to 100V, load current from hundreds mA up to 10A and more).

I would like to know if in your company there are guys (analog designers) with experience on this field.
If yes, can you please give to me some examples of products where you have been involved?
Any kind of info you can provide in this stage is very useful for me to understand if we can start a collaboration.

Aucune visibilité sur le besoin réel.",NULL,00:00.0,NULL,Abandonne,Identification,0,1,NULL,00:00.0,28,37:32.0,27,57:13.0,57:13.0,NULL,0,NULL,NULL,NULL,-2147483640,NULL,NULL,2,2,NULL,NULL,NULL,2,0,2,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,2
6159,4291,4604,27,NULL,SEM01-3,Desogn_Service,NULL,NULL,Prolongation mission Thomas G jusqu'au 30 avril,NULL,00:00.0,00:00.0,Won,Negotiating,36000,100,NULL,00:00.0,27,52:07.0,27,06:20.0,06:20.0,NULL,0,NULL,NULL,NULL,-2147483640,NULL,NULL,2,2,NULL,NULL,NULL,2,0,2,36000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,2
6160,4345,4750,27,NULL,MAIA2,Desogn_Service,NULL,NULL,Automatisation du flot de P&R,NULL,00:00.0,NULL,Abandonne,Construction offre,95000,10,NULL,00:00.0,27,53:45.0,27,57:01.0,57:01.0,NULL,0,NULL,NULL,NULL,-2147483640,NULL,NULL,2,2,NULL,NULL,NULL,2,0,2,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,2
6161,4345,4750,27,NULL,MAIA3,Desogn_Service,NULL,NULL,"Projet en 28FDSOI pour un démonstrateur complet

WP1- eFPGA IP (40 000 LCs avec 4 clocks et 1MB de RAM) physical implementation RTL->GDDSII
•	Estimated Timeline : 2/3 mois
•	Estimated Price : 95 k€
•	Hypothesis : Scripts provided by Menta / DfT on Synopsys tool (DfT max and TetraMax) / work in secure space

WP2 –Demonstrator design
•	Estimated Timeline : 3/4 mois
•	Estimated Price : 155 k€ 
•	This price does not include the price for IP coming from ST (PLL 500MHz) 
•	Hypothesis: Free access to DK 28FDSOI (standard cells,IO, memories) / No power regulator inside the testchip / Work in secure space (dedicated server)

WP3 - Demonstrator supply management
•	Estimated Timeline : 6 months
•	Estimated Price : 290 k€ to 340 k€ 
o	Including Silicon fabrication (through CMP – 2 MPW per year – for information in 2021 in March & Sept) : from 260 k€ (IP eFPGA 40k LC / 1MB RAM) to 310 k€ (IP eFPGA 50k LC/ 4MB RAM)  
o	Including a first estimation for packaging price (WireBonding / without package identification)",NULL,00:00.0,NULL,Abandonne,Construction offre,650000,1,NULL,00:00.0,27,55:15.0,27,12:33.0,12:33.0,NULL,0,NULL,NULL,NULL,-2147483640,NULL,NULL,2,2,NULL,NULL,NULL,2,0,2,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,2
6162,4247,19104,27,NULL,Grenat - Avenant 5,FTK,NULL,NULL,"Mise à jour pour industrialisation (45 layers, ES proto, simu EM...",NULL,00:00.0,00:00.0,Won,Negotiating,251000,100,NULL,00:00.0,27,10:12.0,27,50:38.0,50:38.0,NULL,0,NULL,NULL,NULL,-2147483640,NULL,NULL,2,2,NULL,NULL,NULL,2,0,2,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,2
6163,4246,19846,27,1,Etude faisabilité,NULL,NULL,NULL,"PAs de budget pour un gros projet de développement mais possible de faire une étude sur 2021 autour de l'utilisation des perf du nanopower ECG.

A voir en Janvier 2021 pour une spec.

Processus de decision semble long et compliqué
------

Client à décidé de ne pas aller dans la voie ASIC. Va faire son produit en COTS.",NULL,00:00.0,NULL,Abandonne,Identification,0,1,NULL,00:00.0,28,39:44.0,27,32:15.0,32:15.0,NULL,0,32:15.0,NULL,NULL,-2147483640,NULL,NULL,2,2,NULL,NULL,NULL,2,0,2,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2
6164,17525,19881,27,NULL,NUNKI,Desogn_Service,NULL,NULL,P&R pour le projet Facebook du cluster venant de l'ETHZ,NULL,00:00.0,00:00.0,Won,Negotiating,170000,100,NULL,00:00.0,27,16:43.0,27,06:42.0,06:42.0,NULL,0,NULL,NULL,NULL,-2147483640,NULL,NULL,2,2,NULL,NULL,NULL,2,0,2,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,2
6165,17556,19942,27,NULL,MIMOSA,FTK,NULL,NULL,"Projet ASIC bancaire avec 4 SERDES et IP MOSAIC
Doit trouver un financement pour l'ASIC et contractualisation probablement compliquée (avec exclusivité et n'apprécie pas de payer un Rep)",NULL,00:00.0,00:00.0,Won,Negotiating,853000,100,NULL,00:00.0,27,26:57.0,27,06:51.0,06:51.0,NULL,0,NULL,NULL,NULL,-2147483640,NULL,NULL,2,2,NULL,NULL,NULL,2,0,2,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,99,00:00.0,0,2
6166,17280,19931,27,1,Etude système souffle,NULL,NULL,NULL,"Système à base de MOX

Chereche toujours à lever des fonds...

A priori, pas grand chose à prévoir avant Q4-2021",NULL,00:00.0,NULL,Abandonne,Identification,0,1,NULL,00:00.0,28,50:34.0,27,59:01.0,59:01.0,NULL,0,NULL,NULL,NULL,-2147483640,NULL,NULL,2,2,NULL,NULL,NULL,2,0,2,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,58,00:00.0,NULL,2
6167,12065,14939,27,1,Etude ASIC,NULL,NULL,NULL,"A voir avec le nouveau responsable BE.
=>pas de projet même à long terme.

--
le savoir-faire de Titan aviation ne demande pas du tout à ce jour ce genre de compétence et technologie. Nous sommes intégrateur de solutions embarqués et n’avons, à ce jour, aucunement l’ambition de développer des cartes électroniques et encore moins des ASIC !",NULL,00:00.0,NULL,Abandonne,Identification,0,1,NULL,00:00.0,28,52:17.0,27,33:07.0,33:07.0,NULL,0,33:07.0,NULL,NULL,-2147483640,NULL,NULL,2,2,NULL,NULL,NULL,2,0,2,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,2
6168,17506,19838,27,1,NASH : ASIC MOX,FTK,NULL,NULL,"Plutôt à moyen terme - levée de fond (prévue en sept 2021) nécessaire pour avancer.

BQ envoyée le 22/12/22",NULL,00:00.0,NULL,Abandonne,Identification,1900000,10,NULL,00:00.0,28,54:23.0,27,45:14.0,45:14.0,NULL,0,NULL,NULL,NULL,-2147483640,NULL,NULL,2,2,NULL,NULL,NULL,2,0,2,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,346000,2
6169,3176,3278,27,1,Avenant reprise CHARA,FTK,NULL,NULL,Avenant pour la reprise - suite du developpement,NULL,00:00.0,00:00.0,Won,Negotiating,1515000,100,NULL,00:00.0,28,34:31.0,27,07:01.0,07:01.0,NULL,0,34:30.0,NULL,NULL,-2147483640,NULL,NULL,2,2,NULL,NULL,NULL,2,0,2,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,2
6170,4284,4537,27,NULL,CS01,NULL,NULL,NULL,Demande de P&R,NULL,00:00.0,NULL,Abandonne,Qualified,0,1,NULL,00:00.0,27,04:47.0,27,56:32.0,56:32.0,NULL,0,NULL,NULL,NULL,-2147483640,NULL,NULL,2,2,NULL,NULL,NULL,2,0,2,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2
6171,7965,9540,27,NULL,LESATH,Desogn_Service,NULL,NULL,design & P&R,NULL,00:00.0,00:00.0,Won,Negotiating,240000,100,NULL,00:00.0,27,06:44.0,27,07:09.0,07:09.0,NULL,0,NULL,NULL,NULL,-2147483640,NULL,NULL,2,2,NULL,NULL,NULL,2,0,2,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,2
6172,1119,19284,27,NULL,VEGA-IP2,NULL,NULL,NULL,Nouvelle demande de conception d'IP logique depuis la spec,NULL,00:00.0,NULL,Abandonne,Qualified,0,10,NULL,00:00.0,27,10:03.0,27,28:26.0,28:26.0,NULL,0,NULL,NULL,NULL,-2147483640,NULL,NULL,2,2,NULL,NULL,NULL,2,0,2,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2
6173,9111,17054,27,1,TRIXELL: Analyse de defaillance,NULL,NULL,NULL,"Diag à faire sur un imageur : mission de 6 mois

=> on ne se positionne pas car pas de ressource et modalité pas OK",NULL,00:00.0,NULL,Abandonne,Evaluation technique,95000,10,NULL,00:00.0,28,47:23.0,27,34:34.0,34:34.0,NULL,0,34:34.0,NULL,NULL,-2147483640,NULL,NULL,2,2,NULL,NULL,NULL,2,0,2,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2
6174,17561,19956,27,1,WavIoT: ASIC digitial,NULL,NULL,NULL,"Développement d'un ASIC digital en Spec to Proto avec plein d'IP

Mauvaise visibilité sur le budget, la pertinance du projet (sont en phase de discussion interne pour savoir si ce projet est viable...)
=> probabilité très fiable",NULL,00:00.0,NULL,Abandonne,Identification,0,1,NULL,00:00.0,28,49:30.0,27,15:45.0,15:45.0,NULL,0,NULL,NULL,NULL,-2147483640,NULL,NULL,2,2,NULL,NULL,NULL,2,0,2,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2
6175,17554,19947,27,1,Intégration ASIC capteur,NULL,NULL,NULL,Intergation de l'électronique capteur dans un ASIC,NULL,00:00.0,NULL,Abandonne,Identification,0,1,NULL,00:00.0,28,54:36.0,27,18:48.0,18:48.0,NULL,0,NULL,NULL,NULL,-2147483640,NULL,NULL,2,2,NULL,NULL,NULL,2,0,2,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2
6176,9103,10859,27,1,Demonstrateur GF 22 nm,Desogn_Service,NULL,NULL,"Contrat signé pour Réalisation d'un démonstrateur en GF22 sur base de RISC V
Commande OK pour mission grégoire (43 k€) 
Reste le test chip en GF 22",NULL,00:00.0,00:00.0,Won,Negotiating,70000,100,NULL,00:00.0,28,56:20.0,27,07:18.0,07:18.0,NULL,0,32:13.0,NULL,NULL,-2147483640,NULL,NULL,2,2,NULL,NULL,NULL,2,0,2,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,2
6177,4369,19964,27,1,Developpement systeme ARM,NULL,NULL,NULL,"Possible besoin de support pour développement autour d'un coeur ARM.

Au 17/05/2021 :
Tim devrait avoir des nouvelles d'ici mi-juin/fin juin.
Le projet n'est pas gagné - il estime ses chances à 50%",NULL,00:00.0,NULL,Abandonne,Identification,0,1,NULL,00:00.0,28,43:18.0,27,02:13.0,02:13.0,NULL,0,NULL,NULL,NULL,-2147483640,NULL,NULL,2,2,NULL,NULL,NULL,2,0,2,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2
6178,4247,19104,27,NULL,Grenat - Avenant 6,FTK,NULL,NULL,"Update prix masque et wafer avec taux en dollar actuel
Travaux de mars",NULL,00:00.0,00:00.0,Won,Negotiating,-72844,100,NULL,00:00.0,27,10:03.0,27,50:55.0,50:55.0,NULL,0,NULL,NULL,NULL,-2147483640,NULL,NULL,2,2,NULL,NULL,NULL,2,0,2,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,2
6179,17566,19963,27,NULL,VEZAD,Desogn_Service,NULL,NULL,Design + P&R digital block,NULL,00:00.0,00:00.0,Won,Negotiating,80000,100,NULL,00:00.0,27,15:12.0,27,07:27.0,07:27.0,NULL,0,NULL,NULL,NULL,-2147483640,NULL,NULL,2,2,NULL,NULL,NULL,2,0,2,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,2
6180,1072,19803,27,NULL,Beemin-IP analogique,NULL,NULL,NULL,"ADC, DAC Faits par leur partenaire layout
Buck : cherche un partenaire avec de l'expérience en buck...",NULL,00:00.0,NULL,Lost,Construction offre,340000,1,NULL,00:00.0,27,16:55.0,27,20:43.0,20:43.0,NULL,0,NULL,NULL,NULL,-2147483640,NULL,NULL,2,2,NULL,NULL,NULL,2,0,2,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2
6181,11652,19979,27,NULL,ASIC,NULL,NULL,NULL,Projet ASIC adc,NULL,00:00.0,NULL,Abandonne,Identification,0,1,NULL,00:00.0,27,51:30.0,27,15:24.0,15:24.0,NULL,0,NULL,NULL,NULL,-2147483640,NULL,NULL,2,2,NULL,NULL,NULL,2,0,2,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2
6182,9103,10859,27,1,TESIC + TALITA en GF 40,NULL,NULL,NULL,"Std cell migration & TESIC P&R in GF 40nm

Pour la fin 2021 / début 2022
Finalement le Client ne fera pas de dev en 40nm. Passera directement en GF22.
=> abandonné",NULL,00:00.0,NULL,Abandonne,Identification,120000,1,NULL,00:00.0,28,30:55.0,27,32:13.0,32:13.0,NULL,0,32:13.0,NULL,NULL,-2147483640,NULL,NULL,2,2,NULL,NULL,NULL,2,0,2,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2
6183,17265,19269,27,1,RFQ flash & voter,Desogn_Service,NULL,NULL,"Please consider this RFQ as confidential.

We need to know if you have the capability to design and to provide wafer for similar memory (see attached data sheet) or an alternative with a dice for majority vote.

It is for space application so no SEL and low probability for SEU
My customer wants to use this memory to configurate an another parts (FPGA) : their parts are configured by loading the bitstream into internal configuration memory using one of these following modes: 
• JTAG, 
• Slave Parallel 8bits, 
• Slave SpaceWire, compliant ECSS-E-ST-50-12C link, 
• Master SPI, compliant with SPI JESD68.01, 
• Master Dump. 

What is the cost for this design (Rough estimation) and to produce low quantity of dice (1000-2000). Assembly and test done by ATN.

Another scenario is to use memory dice  from ISSI (3 dice inside a module) but with a fourth dice to implement majority vote of the 3 memories (to be designed by IC Alps up to wafer delivery). 

Rough estimation is requested as this customer will analyze different approachs",NULL,00:00.0,NULL,Abandonne,Identification,250000,5,NULL,00:00.0,28,58:37.0,27,00:44.0,00:44.0,NULL,0,NULL,NULL,NULL,-2147483640,NULL,NULL,2,2,NULL,NULL,NULL,2,0,2,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,2
6184,15153,18072,27,NULL,WIS01,Desogn_Service,NULL,NULL,Conseil layout et flot,NULL,00:00.0,00:00.0,Won,Negotiating,7000,100,NULL,00:00.0,27,38:31.0,27,07:41.0,07:41.0,NULL,0,NULL,NULL,NULL,-2147483640,NULL,NULL,2,2,NULL,NULL,NULL,2,0,2,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,2
6185,18583,20986,27,1,ASIC pour implant neurostim,NULL,NULL,NULL,"ASIC pour un implant de neurostimulmation du nerf vague.

=> PERDU. 
Neuroloop ne souhaite pas travailler avec nous car ""trop jeune"" et souhaite s'appuyer sur un partenaire plus ""experimenté"" - IC'Sense ??

",NULL,00:00.0,00:00.0,Lost,Construction offre,0,0,NULL,00:00.0,28,56:01.0,27,33:57.0,33:57.0,NULL,0,33:57.0,NULL,NULL,-2147483640,NULL,NULL,2,2,NULL,NULL,NULL,2,0,2,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2
6186,10391,19199,31,NULL,Gemma2,NULL,NULL,NULL,Transformation algo en hard,NULL,00:00.0,NULL,Abandonne,Qualified,0,0,NULL,00:00.0,27,12:26.0,31,35:30.0,35:30.0,NULL,0,NULL,NULL,NULL,-2147483640,NULL,NULL,2,2,NULL,NULL,NULL,2,0,2,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2
6187,4293,4613,27,NULL,SEM01-5,Desogn_Service,NULL,NULL,Prolongation Thomas,NULL,00:00.0,00:00.0,Won,Negotiating,24000,100,NULL,00:00.0,27,22:54.0,27,07:48.0,07:48.0,NULL,0,NULL,NULL,NULL,-2147483640,NULL,NULL,2,2,NULL,NULL,NULL,2,0,2,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,2
6189,18597,22002,27,1,ASIC pour driver LED,FTK,NULL,NULL,"Travaille en ce moment sur l'architecture de leur chip.
Design start prévu en mi-2022
Devrait revenir vers nous pour consultation à début 2022.",NULL,00:00.0,NULL,Abandonne,Construction offre,4500000,5,NULL,00:00.0,28,03:10.0,27,00:51.0,00:51.0,NULL,0,NULL,NULL,NULL,-2147483640,NULL,NULL,2,2,NULL,NULL,NULL,2,0,2,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,2
6190,4247,19104,27,NULL,Grenat - Avenant 7,FTK,NULL,NULL,Avenant travaux avril - mai et réécriture paragraphe 3.9 pour export,NULL,00:00.0,00:00.0,Won,Negotiating,120000,100,NULL,00:00.0,27,05:25.0,27,51:23.0,51:23.0,NULL,0,NULL,NULL,NULL,-2147483640,NULL,NULL,2,2,NULL,NULL,NULL,2,0,2,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,2
6191,17568,19965,27,1,Block Temp Sensor,NULL,NULL,NULL,"Développement d'un bloc Température sensor CMOS en TSMC 22 nm.

=> Perdu
Font faire par Ensilica à 35 k£ (41 k€) - nous étions à 50 k€

",NULL,00:00.0,00:00.0,Lost,Negotiating,50000,0,NULL,00:00.0,28,30:28.0,27,34:00.0,34:00.0,NULL,0,34:00.0,NULL,NULL,-2147483640,NULL,NULL,2,2,NULL,NULL,NULL,2,0,2,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2
6192,17581,19980,27,NULL,PHAD P&R,Desogn_Service,NULL,NULL,"P&R sur design easics
1 dry-run
2 à 3 netlists
en TSMC40 nm",NULL,00:00.0,00:00.0,Won,Negotiating,48000,100,NULL,00:00.0,27,31:37.0,27,08:13.0,08:13.0,NULL,0,30:48.0,NULL,NULL,-2147483640,NULL,NULL,2,2,NULL,NULL,NULL,2,0,2,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,2
6193,4710,22005,27,NULL,Support synthèse,Desogn_Service,NULL,NULL,Besoin de support synthèse pour 4-6 mois,NULL,00:00.0,NULL,Abandonne,Evaluation technique,40000,1,NULL,00:00.0,27,33:47.0,27,00:22.0,00:22.0,NULL,0,NULL,NULL,NULL,-2147483640,NULL,NULL,2,2,NULL,NULL,NULL,2,0,2,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,2
6194,5745,6988,27,NULL,EDASICH WP2-spec,Preetude,NULL,NULL,"ASIC avec SERDES, eFPGA accronix et IP ENYX. Qques 100ènes à livrer

LEADS REDTREE",NULL,00:00.0,NULL,Abandonne,Negotiating,170000,50,NULL,00:00.0,27,36:03.0,27,49:32.0,49:32.0,NULL,0,NULL,NULL,NULL,-2147483640,NULL,NULL,2,2,NULL,NULL,NULL,2,0,2,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,2
6195,3179,3284,27,1,Avenant 5 - MIRA-PULSE,FTK,NULL,NULL,Avenant 5 couvrant les preprise complementaire et le jeu de masque SLM.,NULL,00:00.0,00:00.0,Won,Negotiating,205000,100,NULL,00:00.0,28,35:26.0,27,08:01.0,08:01.0,NULL,0,33:48.0,NULL,NULL,-2147483640,NULL,NULL,2,2,NULL,NULL,NULL,2,0,2,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,2
6196,9103,10859,27,1,Prestation Design Syntheses Tiempo,Desogn_Service,NULL,NULL,"Grégoire pour une prestation de synthèse et DFT sur le test chip GF 22

720 € / jours sur 50 jours",NULL,00:00.0,00:00.0,Won,Negotiating,36000,100,NULL,00:00.0,28,34:27.0,27,08:24.0,08:24.0,NULL,0,32:13.0,NULL,NULL,-2147483640,NULL,NULL,2,2,NULL,NULL,NULL,2,0,2,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,2
6197,17265,22037,27,1,Assemblage LGA,NULL,NULL,NULL,"Il s’agit d’un produit GaN Power dans un boitier LGA.

Les prévisions de volume sont :
2022 : 500 ku
2023 : 1 Mu
2024 : 5 Mu

Finalement le client final (Wise integration) va gérer le packaging lui meme avec ASE. => Abandonné",NULL,00:00.0,00:00.0,Abandonne,Evaluation technique,0,1,NULL,00:00.0,28,00:53.0,27,34:14.0,34:14.0,NULL,0,34:14.0,NULL,NULL,-2147483640,NULL,NULL,2,2,NULL,NULL,NULL,2,0,2,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2
6198,18619,22040,31,1,ASIC pour patch medical,NULL,NULL,NULL,"Leads approtée par Adi (KAL)
Développement ASIC.",NULL,00:00.0,NULL,Abandonne,Identification,0,1,NULL,00:00.0,28,01:58.0,27,01:42.0,01:42.0,NULL,0,NULL,NULL,NULL,-2147483640,NULL,NULL,2,2,NULL,NULL,NULL,2,0,2,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2
6199,4291,4604,27,NULL,SEM01-6,Desogn_Service,NULL,NULL,Prolongation juin Thomas,NULL,00:00.0,00:00.0,Won,Negotiating,14400,100,NULL,00:00.0,27,05:11.0,27,08:47.0,08:47.0,NULL,0,NULL,NULL,NULL,-2147483640,NULL,NULL,2,2,NULL,NULL,NULL,2,0,2,14400,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,2
6200,9103,10859,27,1,TEST CHIP TESIC ST28FDSOI,NULL,NULL,NULL,test chip avec TESIC en ST28FDSOI pour projet DGA,NULL,00:00.0,NULL,Abandonne,Construction offre,97000,10,NULL,00:00.0,28,18:18.0,27,05:41.0,05:41.0,NULL,0,NULL,NULL,NULL,-2147483640,NULL,NULL,2,2,NULL,NULL,NULL,2,0,2,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2
6201,9103,10859,27,1,TALITA & THETA TSMC 22nm,Desogn_Service,NULL,NULL,"TALITA: dev de bibliothèque ASC (identique TSMC 16nm) en TSMC 22nm
THETA : P&R de TESIC+MRAM en TSMC 22nm MRAM",NULL,00:00.0,00:00.0,Won,Negotiating,118000,100,NULL,00:00.0,28,20:17.0,27,08:55.0,08:55.0,NULL,0,NULL,NULL,NULL,-2147483640,NULL,NULL,2,2,NULL,NULL,NULL,2,0,2,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,2
6202,18632,22061,31,1,ASIC SPD6,NULL,NULL,NULL," ASIC for cochlear implant system
Perimeter reduced 1 ASIC SPD6
for BETCC re-use in internal an ASIC already developed

Référencement IC'Alps en cours ...

Abandon le 1/8 car pas d'avancée, pas de retour en direct ... 0 réponse des différents contacts en Europe et aux USA (et de nombreuses évolutions sur fin Q1-début Q2'22 comme pour le juridique",NULL,00:00.0,00:00.0,Abandonne,Construction offre,3900000,0,NULL,00:00.0,28,52:57.0,31,46:33.0,46:33.0,NULL,0,NULL,NULL,NULL,-2147483640,NULL,NULL,2,2,NULL,NULL,NULL,2,0,2,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2
6203,18629,22057,27,1,PROTSION Préétude,NULL,NULL,NULL,"1st estimation to be provided.
Possible Prestudy/feasibility end of Q3'2023. après levée de fonds

=> Steve Stoffels m'a informé ce 31/05 que la levée de fonds ne s'est pas fait et que du coup fin en l'état de ce projet (et réduction de la taille de l'équipe à 4 personnes Daniel / Marco / Jo et ...) avec retour de la techno capteur au sein de l'IMEC",NULL,00:00.0,00:00.0,Abandonne,Evaluation technique,90000,0,NULL,00:00.0,28,58:50.0,31,02:40.0,02:40.0,NULL,0,NULL,NULL,NULL,-2147483640,NULL,NULL,2,2,NULL,NULL,NULL,2,0,2,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2
