icalps_deal_id,dealname,icalps_dealforecast,icalps_dealcertainty,icalps_dealtype,icalps_dealsource,icalps_dealnotes,icalps_dealcategory,icalps_deal_created_date,closedate,hubspot_owner_id,icalps_originalstage,icalps_original_status,icalps_transformation_notes,pipeline,dealstage,amount,weighted_amount,company_association_id,contact_association_id,hubspot_company_id,hubspot_contact_id,import_batch,import_status,validation_status
2012,ACAMAR Prototypage,315000.0,100,FTK,,Prototypage,Opportunity,,2025-09-18,27,Negotiating,Won,Deal successfully closed,Icalps_hardware,1116419649,315000.0,315000.0,1076,1050.0,TBD,TBD,icalps_migration_20250918_1203,READY,HUBSPOT_VALIDATED
2013,Etude exploratoire,15000.0,100,Preetude,,Etude faisa,Study,,2025-09-18,27,Negotiating,Won,Deal successfully closed,Icalps_service,1116704052,15000.0,15000.0,1076,1050.0,TBD,TBD,icalps_migration_20250918_1203,READY,HUBSPOT_VALIDATED
2014,NEKKAR : Pré-étude,36000.0,100,Preetude,,pré-étude en vu du développement d'un ASIC,Study,,2025-09-18,27,Negotiating,Won,Deal successfully closed,Icalps_service,1116704052,36000.0,36000.0,4196,4303.0,TBD,TBD,icalps_migration_20250918_1203,READY,HUBSPOT_VALIDATED
2015,FIDIS : pré-étude,10000.0,100,Preetude,,Offre de prestation à 1250 € / jour par intervenant,Study,,2025-09-18,27,Negotiating,Abandonne,Default mapping applied,Icalps_service,1116419644,10000.0,10000.0,4202,4310.0,TBD,TBD,icalps_migration_20250918_1203,READY,HUBSPOT_VALIDATED
3014,Acamar : phase 3 pré-étude,18000.0,100,Preetude,,Suite,Study,,2025-09-18,27,Negotiating,Won,Deal successfully closed,Icalps_service,1116704052,18000.0,18000.0,1076,1050.0,TBD,TBD,icalps_migration_20250918_1203,READY,HUBSPOT_VALIDATED
4014,MIRA-ACQ: ASIC,1705000.0,100,FTK,,développement de l'ASIC ACQ,Opportunity,2025-09-18 01:29:00,2025-09-18,27,Negotiating,Won,Deal successfully closed,Icalps_hardware,1116419649,1705000.0,1705000.0,3179,3284.0,TBD,TBD,icalps_migration_20250918_1203,READY,HUBSPOT_VALIDATED
4015,MIRA-PULSE: ASIC,903000.0,100,FTK,,Développement de l'ASIC PULSE,Opportunity,2025-09-18 02:25:00,2025-09-18,27,Negotiating,Won,Deal successfully closed,Icalps_hardware,1116419649,903000.0,903000.0,3179,3284.0,TBD,TBD,icalps_migration_20250918_1203,READY,HUBSPOT_VALIDATED
4016,VEGA,0.0,30,FTK,,Sélection des IP,Opportunity,,2025-09-18,27,Qualified,Abandonne,Default mapping applied,Icalps_hardware,1116419644,0.0,0.0,1119,1146.0,TBD,TBD,icalps_migration_20250918_1203,READY,HUBSPOT_VALIDATED
4017,NAOS : Préétude,100000.0,1,Preetude,,Etude intégration,Study,,2025-09-18,27,Qualified,Abandonne,Moved to Closed Dead (abandoned + low certainty),Icalps_service,1116269223,100000.0,1000.0,4349,4754.0,TBD,TBD,icalps_migration_20250918_1203,READY,HUBSPOT_VALIDATED
4018,ISIDA - Préétude,90000.0,100,Preetude,,Développement ASIC,Study,,2025-09-18,27,Negotiating,Won,Deal successfully closed,Icalps_service,1116704052,90000.0,90000.0,1132,1175.0,TBD,TBD,icalps_migration_20250918_1203,READY,HUBSPOT_VALIDATED
4020,Projet ASIC,0.0,1,FTK,,Projet ASIC Spatial...,Opportunity,,2025-09-18,27,Identification,Abandonne,Moved to Closed Dead (abandoned + low certainty),Icalps_hardware,1116419650,0.0,0.0,1150,1222.0,TBD,TBD,icalps_migration_20250918_1203,READY,HUBSPOT_VALIDATED
4021,AFE pour cardio - préétude,0.0,1,FTK,,Réalisation de l'AFE pour capteurs CSEM,Opportunity,2025-09-18 04:35:00,2025-09-18,27,Identification,Abandonne,Moved to Closed Dead (abandoned + low certainty),Icalps_hardware,1116419650,0.0,0.0,1128,1166.0,TBD,TBD,icalps_migration_20250918_1203,READY,HUBSPOT_VALIDATED
4022,ALFIRK,1320000.0,5,FTK,,Migration de 6 FPGA,Opportunity,2025-09-18 06:10:00,2025-09-18,27,Construction offre,Abandonne,Moved to Closed Dead (abandoned + low certainty),Icalps_hardware,1116419650,1320000.0,66000.0,4311,8425.0,TBD,TBD,icalps_migration_20250918_1203,READY,HUBSPOT_VALIDATED
4023,TEREBELL : Service Design&Layout,0.0,1,Desogn_Service,,"CDC reçu
----

Ils ont finalement décidé de monter une équipe ASIC en interne.
Sont incubé dans Silicon Catalyste (incubateur spécialisé dans les startup souhaitant faire des circuits intégrés)",Opportunity,,2025-09-18,27,Identification,Abandonne,Moved to Closed Dead (abandoned + low certainty),Icalps_hardware,1116419650,0.0,0.0,7987,9603.0,TBD,TBD,icalps_migration_20250918_1203,READY,HUBSPOT_VALIDATED
4024,ASIC conversion CU/FO,0.0,1,FTK,,A un composant en obsolescence : On ne saura pas faire l'IP,Opportunity,,2025-09-18,27,Identification,Abandonne,Moved to Closed Dead (abandoned + low certainty),Icalps_hardware,1116419650,0.0,0.0,1081,1070.0,TBD,TBD,icalps_migration_20250918_1203,READY,HUBSPOT_VALIDATED
5024,ASIC Automotive PMU,0.0,0,FTK,,"CDC reçu le 17/10/2018

Abandon : 
On ne se positionne pas car les IP orientés automobile (CAN, LIN) ne sont pas disponibles pour nous. Tentative de prise de contact avec créative chips pour voir comment ils auraient pu nous aider => resté sans réponse de leur part. 
Conséquence, nous ne sommes pas en mesure de faire une offre compétitive.",Opportunity,,2025-09-18,27,Identification,Abandonne,Moved to Closed Dead (abandoned + low certainty),Icalps_hardware,1116419650,0.0,0.0,9046,10749.0,TBD,TBD,icalps_migration_20250918_1203,READY,HUBSPOT_VALIDATED
5025,CASTOR : Migration HALO - CT450,200000.0,1,Desogn_Service,,"Redéfinition du projet pour limiter le budget à < 200 k€
---
Abandonné par le client.
D'autres projets en priorité",Opportunity,2025-09-18 11:49:00,2025-09-18,27,Evaluation technique,Abandonne,Moved to Closed Dead (abandoned + low certainty),Icalps_hardware,1116419650,200000.0,2000.0,9061,13814.0,TBD,TBD,icalps_migration_20250918_1203,READY,HUBSPOT_VALIDATED
5026,ASIC implant,0.0,1,FTK,,ASIC pour implant avec monitoring tension et com et recharge RF,Opportunity,2025-09-18 09:05:00,2025-09-18,27,Identification,Abandonne,Moved to Closed Dead (abandoned + low certainty),Icalps_hardware,1116419650,0.0,0.0,9020,10690.0,TBD,TBD,icalps_migration_20250918_1203,READY,HUBSPOT_VALIDATED
6028,TYL,57500.0,1,Desogn_Service,,Développement logique,Opportunity,2025-09-18 05:24:00,2025-09-18,27,Construction offre,Abandonne,Moved to Closed Dead (abandoned + low certainty),Icalps_hardware,1116419650,57500.0,575.0,1074,1046.0,TBD,TBD,icalps_migration_20250918_1203,READY,HUBSPOT_VALIDATED
6029,Backend gros circuit 28FDSOI,0.0,1,Desogn_Service,,"pour projet SPA, il cherche des partenaires :
•         Capables de gérer des gros circuits (il parle de circuit de 150 à 200 mm2 en 28FDSOI) , pouvant faire tout le Bacakend
=> Il faudra rentrer chez ST sur techno FDSOI28 avant d'être consulté pour la partie Space en complément de EASII",Opportunity,,2025-09-18,27,Identification,Abandonne,Moved to Closed Dead (abandoned + low certainty),Icalps_hardware,1116419650,0.0,0.0,4287,4556.0,TBD,TBD,icalps_migration_20250918_1203,READY,HUBSPOT_VALIDATED
6030,ASIC pour DAC X-IFU,0.0,0,Desogn_Service,,"Réalisation ASIC analog
--
Abandonné (réponse Aurélien) : 
Bonjour Rémy,
Oui, j’ai enfin une position ferme sur le DAC.

Le DAC à développer était pour la solution FDM qui était la Baseline. 
La solution FDM qui était plus élégante mais a rencontré plusieurs problèmes rendant le risque inacceptable. 

Le projet a donc pris la décision de passer en TDM juste avant le confinement rendant le besoin de développer un DAC nul.",Opportunity,,2025-09-18,27,Identification,Abandonne,Moved to Closed Dead (abandoned + low certainty),Icalps_hardware,1116419650,0.0,0.0,2160,7098.0,TBD,TBD,icalps_migration_20250918_1203,READY,HUBSPOT_VALIDATED
6031,Développement ASIC ULP (CHARA),1430000.0,100,FTK,,"ASIC pour la fonction Pacing avec multiples blocs de monitoring et controle du Dispositif Medical.

Projet ISO13485",Opportunity,,2025-09-18,27,Negotiating,Won,Deal successfully closed,Icalps_hardware,1116419649,1430000.0,1430000.0,3176,3277.0,TBD,TBD,icalps_migration_20250918_1203,READY,HUBSPOT_VALIDATED
6032,pré-étude ASIC - part1,30000.0,80,Preetude,,"Sur base du circuit TUDeltf
design review, manufacturablilité, plan pour en faire un produit, potentiel d’optimisation, IP, industrialisation…",Study,,2025-09-18,27,Identification,Abandonne,Default mapping applied,Icalps_service,1116419644,30000.0,24000.0,3187,3294.0,TBD,TBD,icalps_migration_20250918_1203,READY,HUBSPOT_VALIDATED
6033,pré-étude ASIC - part 2,60000.0,1,Preetude,,Base LIU,Study,,2025-09-18,27,Identification,Abandonne,Moved to Closed Dead (abandoned + low certainty),Icalps_service,1116269223,60000.0,600.0,3187,3294.0,TBD,TBD,icalps_migration_20250918_1203,READY,HUBSPOT_VALIDATED
6034,ACAMAR Seconde archi,20000.0,100,Preetude,,Ajout d'une seconde architecture dans le testchip,Study,,2025-09-18,27,Negotiating,Won,Deal successfully closed,Icalps_service,1116704052,20000.0,20000.0,1076,1050.0,TBD,TBD,icalps_migration_20250918_1203,READY,HUBSPOT_VALIDATED
6035,Industrialisation ASIC,495000.0,5,FTK,,"Outre le GDS , de quelles informations auriez-vous besoin pour nous faire un chiffrage de la phase d’industrialisation comprenant la réalisation de 25 wafers chez Tower , et , la sous-traitance de la partie bumping sciage , amincissement et test électrique ?
Une telle offre est-elle envisageable vis-à-vis de Tower ?",Opportunity,,2025-09-18,27,Construction offre,Abandonne,Moved to Closed Dead (abandoned + low certainty),Icalps_hardware,1116419650,495000.0,24750.0,1154,1231.0,TBD,TBD,icalps_migration_20250918_1203,READY,HUBSPOT_VALIDATED
6036,SIRRAH : ASIC VGA,595000.0,0,,,"Spec to GDSII.
--------
Selection d'un autre partenaire (prix ?)",Opportunity,,2025-09-18,27,Construction offre,Lost,Deal closed as lost,Icalps_hardware,12096415,595000.0,0.0,11747,14218.0,TBD,TBD,icalps_migration_20250918_1203,READY,HUBSPOT_VALIDATED
6037,ASIC pour micropompe,0.0,1,FTK,,A un projet d'ASIC (sera lancé d'ici 18 mois) pour intégrer plus leur électronique. Il y a une partie HV (200V) dans le design et souhaiterait ajouter des interfaces capteurs et un micro. Envoi info puis organiser un WebEx,Opportunity,,2025-09-18,27,Identification,Abandonne,Moved to Closed Dead (abandoned + low certainty),Icalps_hardware,1116419650,0.0,0.0,10541,12792.0,TBD,TBD,icalps_migration_20250918_1203,READY,HUBSPOT_VALIDATED
6038,SADOR,25000.0,100,Desogn_Service,,Etude performance ASIC processeur neuronal,Opportunity,,2025-09-18,27,Negotiating,Won,Deal successfully closed,Icalps_hardware,1116419649,25000.0,25000.0,10525,12764.0,TBD,TBD,icalps_migration_20250918_1203,READY,HUBSPOT_VALIDATED
6039,pré-étude ASIC,0.0,1,Preetude,,"Sont en COTS pour leur système EEG.

""Nous avons reporté le développement d’un ASIC propriétaire afin d’assurer la collecte de datas préliminaires suffisantes pour permettre de resserrer les spécifications techniques de notre électronique pour l’application clinique, ce qui devrait permettre de renforcer la faisabilité du design et de l’intégration finale.
Nous reviendrons vers vous pour consultation dès que nous aurons obtenu suffisamment de données précliniques afin de rediscuter de ces points autour d’objectifs technologiques mieux définis au vue de l’application, probablement pas avant la fin 2021.""

ASIC pas avant fin 2021",Study,,2025-09-18,27,Identification,Abandonne,Moved to Closed Dead (abandoned + low certainty),Icalps_service,1116269223,0.0,0.0,4201,4308.0,TBD,TBD,icalps_migration_20250918_1203,READY,HUBSPOT_VALIDATED
6040,MIRA-PULSE: pièce méca,8000.0,100,FTK,,relatif à l'offre de pièce mecanique et daisy chain,Opportunity,,2025-09-18,27,Negotiating,Won,Deal successfully closed,Icalps_hardware,1116419649,8000.0,8000.0,3179,3284.0,TBD,TBD,icalps_migration_20250918_1203,READY,HUBSPOT_VALIDATED
6041,Pré-étude ASIC,38000.0,100,Preetude,,Pour dispositif Haptique,Study,2025-09-18 14:04:00,2025-09-18,27,Negotiating,Won,Deal successfully closed,Icalps_service,1116704052,38000.0,38000.0,9065,14489.0,TBD,TBD,icalps_migration_20250918_1203,READY,HUBSPOT_VALIDATED
6043,Migration,0.0,1,FTK,,Migration circuit GF130 obsolète en autre process,Opportunity,2025-09-18 11:02:00,2025-09-18,34,Identification,Abandonne,Moved to Closed Dead (abandoned + low certainty),Icalps_hardware,1116419650,0.0,0.0,11748,14219.0,TBD,TBD,icalps_migration_20250918_1203,READY,HUBSPOT_VALIDATED
6044,VEGA -Design,3200000.0,1,,,Développement circuit logique,Opportunity,2025-09-18 15:32:00,2025-09-18,27,Negotiating,Lost,Deal closed as lost,Icalps_hardware,12096415,3200000.0,32000.0,1119,1146.0,TBD,TBD,icalps_migration_20250918_1203,READY,HUBSPOT_VALIDATED
6045,ELNATH,107000.0,100,FTK,,Testchip pour eFPGA,Opportunity,,2025-09-18,27,Negotiating,Won,Deal successfully closed,Icalps_hardware,1116419649,107000.0,107000.0,11929,14684.0,TBD,TBD,icalps_migration_20250918_1203,READY,HUBSPOT_VALIDATED
6046,MOPx,0.0,1,Preetude,,Client potentiel,Study,2025-09-18 12:08:00,2025-09-18,27,Identification,Abandonne,Moved to Closed Dead (abandoned + low certainty),Icalps_service,1116269223,0.0,0.0,4331,4722.0,TBD,TBD,icalps_migration_20250918_1203,READY,HUBSPOT_VALIDATED
6047,MOPx,0.0,1,Preetude,,Intérêt dans MOPIC,Study,2025-09-18 17:17:00,2025-09-18,27,Identification,Abandonne,Moved to Closed Dead (abandoned + low certainty),Icalps_service,1116269223,0.0,0.0,5779,14726.0,TBD,TBD,icalps_migration_20250918_1203,READY,HUBSPOT_VALIDATED
6048,Mopx,0.0,1,Preetude,,Partenaire dans dépot FTI,Study,,2025-09-18,27,Identification,Abandonne,Moved to Closed Dead (abandoned + low certainty),Icalps_service,1116269223,0.0,0.0,4230,14925.0,TBD,TBD,icalps_migration_20250918_1203,READY,HUBSPOT_VALIDATED
6049,MOPx,0.0,1,Preetude,,Intérêt MOPx,Study,,2025-09-18,27,Identification,Abandonne,Moved to Closed Dead (abandoned + low certainty),Icalps_service,1116269223,0.0,0.0,1146,14735.0,TBD,TBD,icalps_migration_20250918_1203,READY,HUBSPOT_VALIDATED
6050,UW9,0.0,1,FTK,,Migration ASIC,Opportunity,2025-09-18 03:03:00,2025-09-18,27,Identification,Abandonne,Moved to Closed Dead (abandoned + low certainty),Icalps_hardware,1116419650,0.0,0.0,2147,2205.0,TBD,TBD,icalps_migration_20250918_1203,READY,HUBSPOT_VALIDATED
6051,Migration FPGA,0.0,1,Desogn_Service,,FPGA + analog,Opportunity,2025-09-18 15:56:00,2025-09-18,27,Identification,Abandonne,Moved to Closed Dead (abandoned + low certainty),Icalps_hardware,1116419650,0.0,0.0,7965,9544.0,TBD,TBD,icalps_migration_20250918_1203,READY,HUBSPOT_VALIDATED
6053,projet SATURN,85000.0,100,Desogn_Service,,développement interfaces digital (SPI/ABZ/HSM/memory Array/Angle engine extraction),Opportunity,,2025-09-18,27,Negotiating,Won,Deal successfully closed,Icalps_hardware,1116419649,85000.0,85000.0,9061,13814.0,TBD,TBD,icalps_migration_20250918_1203,READY,HUBSPOT_VALIDATED
6054,MIRA-ACQ: pièce meca et Daisy Chain,9000.0,100,FTK,,"offre pour 
pièce meca : 9k€
Daisy chain : 16 k€
hold à contact : 0€",Opportunity,,2025-09-18,27,Negotiating,Won,Deal successfully closed,Icalps_hardware,1116419649,9000.0,9000.0,3179,4726.0,TBD,TBD,icalps_migration_20250918_1203,READY,HUBSPOT_VALIDATED
6055,projet VIPER,100000.0,1,Desogn_Service,,"portage GF 130 > TOWER 130

Circuit analog en boucle fermé, capteur angulaire Magnétique
Plus de nouvelle de ce circuit",Opportunity,2025-09-18 06:56:00,2025-09-18,27,Identification,Abandonne,Moved to Closed Dead (abandoned + low certainty),Icalps_hardware,1116419650,100000.0,1000.0,9061,13814.0,TBD,TBD,icalps_migration_20250918_1203,READY,HUBSPOT_VALIDATED
6056,Migration ASIC,45000.0,50,Preetude,,Migration ASIC digital,Study,,2025-09-18,27,Negotiating,Abandonne,Default mapping applied,Icalps_service,1116419644,45000.0,22500.0,1057,1014.0,TBD,TBD,icalps_migration_20250918_1203,READY,HUBSPOT_VALIDATED
6057,ASIC médical,0.0,1,FTK,,Attente spec,Opportunity,,2025-09-18,27,Identification,Abandonne,Moved to Closed Dead (abandoned + low certainty),Icalps_hardware,1116419650,0.0,0.0,10543,12795.0,TBD,TBD,icalps_migration_20250918_1203,READY,HUBSPOT_VALIDATED
6058,RFI ASIC,1800000.0,10,FTK,,Possibilité reprise circuit HMT,Opportunity,,2025-09-18,27,Construction offre,Abandonne,Moved to Closed Dead (abandoned + low certainty),Icalps_hardware,1116419650,1800000.0,180000.0,9050,10767.0,TBD,TBD,icalps_migration_20250918_1203,READY,HUBSPOT_VALIDATED
6059,VIMES,500000.0,50,FTK,,Asic pour imprimante,Opportunity,,2025-09-18,27,Construction offre,Abandonne,Default mapping applied,Icalps_hardware,1116419644,500000.0,250000.0,12086,14975.0,TBD,TBD,icalps_migration_20250918_1203,READY,HUBSPOT_VALIDATED
6060,ASIC design,0.0,1,FTK,,ASIC pour implant crânien alimenté en wireless pour ECG et EcoG,Opportunity,2025-09-18 04:11:00,2025-09-18,27,Identification,Abandonne,Moved to Closed Dead (abandoned + low certainty),Icalps_hardware,1116419650,0.0,0.0,12058,14927.0,TBD,TBD,icalps_migration_20250918_1203,READY,HUBSPOT_VALIDATED
6061,Migration Std cell,149000.0,100,Desogn_Service,,"Portage 2 bilitohèque Asynchrone en 
* GF22nm 
* TSMC 16FFC",Opportunity,,2025-09-18,27,Negotiating,Won,Deal successfully closed,Icalps_hardware,1116419649,149000.0,149000.0,9103,10859.0,TBD,TBD,icalps_migration_20250918_1203,READY,HUBSPOT_VALIDATED
6062,Prototypage : ASIC development neuroprocesseur,1425000.0,5,,,"Phase 1 : Prototypage
Projet retardé de fin 2019 à mi-2020 minimum",Opportunity,,2025-09-18,31,Qualified,Abandonne,Moved to Closed Dead (abandoned + low certainty),Icalps_hardware,1116419650,1425000.0,71250.0,3175,4728.0,TBD,TBD,icalps_migration_20250918_1203,READY,HUBSPOT_VALIDATED
6063,KHARA,50000.0,30,FTK,,Conception ASIC : AFE + DAC. Préétude,Opportunity,,2025-09-18,27,Construction offre,Abandonne,Default mapping applied,Icalps_hardware,1116419644,50000.0,15000.0,9135,14215.0,TBD,TBD,icalps_migration_20250918_1203,READY,HUBSPOT_VALIDATED
6064,ACAMAR : FPGA,24000.0,100,Desogn_Service,,Conception FPGA démo,Opportunity,2025-09-18 00:17:00,2025-09-18,27,Negotiating,Won,Deal successfully closed,Icalps_hardware,1116419649,24000.0,24000.0,1076,1119.0,TBD,TBD,icalps_migration_20250918_1203,READY,HUBSPOT_VALIDATED
6065,Support: Diagnostic PMIC,70000.0,1,Desogn_Service,,"Sur un biz model au temps passé

2 morceaux
- analyse schéma + simu (30 k)
- dev env mesure + réalisation des mesure (30 k)
- 10 k appro board de test

PERDUE : projection de volume trop faible ne justifiant pas l'investissement dans un diagnostic payant.",Opportunity,2025-09-18 13:08:00,2025-09-18,27,Negotiating,Abandonne,Moved to Closed Dead (abandoned + low certainty),Icalps_hardware,1116419650,70000.0,700.0,7988,17042.0,TBD,TBD,icalps_migration_20250918_1203,READY,HUBSPOT_VALIDATED
6066,Pièces et carte sup,6750.0,100,FTK,,demandes complémentaires,Opportunity,2025-09-18 11:33:00,2025-09-18,27,Negotiating,Won,Deal successfully closed,Icalps_hardware,1116419649,6750.0,6750.0,1076,1119.0,TBD,TBD,icalps_migration_20250918_1203,READY,HUBSPOT_VALIDATED
6067,Bloc digital + SW pour ASIC imageur,407500.0,25,,,"RFI reçue le 11/06.

Selection partenaire à fin juin.
Démarrage travaux prévue en juillet",Opportunity,2025-09-18 13:26:00,2025-09-18,27,Negotiating,Lost,Deal closed as lost,Icalps_hardware,12096415,407500.0,101875.0,9016,18059.0,TBD,TBD,icalps_migration_20250918_1203,READY,HUBSPOT_VALIDATED
6068,Etude faisabilité,50000.0,1,FTK,,ASIC traitement du signal,Opportunity,2025-09-18 23:29:00,2025-09-18,27,Identification,Abandonne,Moved to Closed Dead (abandoned + low certainty),Icalps_hardware,1116419650,50000.0,500.0,12062,14934.0,TBD,TBD,icalps_migration_20250918_1203,READY,HUBSPOT_VALIDATED
6069,EM01,26200.0,50,Desogn_Service,,"Besoin un layouteur 2 mois

A une ressource interne qui s'est libérée",Opportunity,,2025-09-18,27,Negotiating,Abandonne,Default mapping applied,Icalps_hardware,1116419644,26200.0,13100.0,7980,18074.0,TBD,TBD,icalps_migration_20250918_1203,READY,HUBSPOT_VALIDATED
6070,ACAMAR - Tranches remplacement,33000.0,100,FTK,,Remplacement des tranches détruites durant la production,Opportunity,,2025-09-18,27,Negotiating,Won,Deal successfully closed,Icalps_hardware,1116419649,33000.0,33000.0,1076,1119.0,TBD,TBD,icalps_migration_20250918_1203,READY,HUBSPOT_VALIDATED
6071,Industrialisation : ASIC neuromorphic,2350000.0,1,FTK,,"Phase 2 : industrialisation
=> Pas de visiblité sur l'indus... trop loin.",Opportunity,2025-09-18 14:58:00,2025-09-18,27,Identification,Abandonne,Moved to Closed Dead (abandoned + low certainty),Icalps_hardware,1116419650,2350000.0,23500.0,3175,4728.0,TBD,TBD,icalps_migration_20250918_1203,READY,HUBSPOT_VALIDATED
6075,design BlueNRG - Regu APMU-LP,61500.0,100,Desogn_Service,,Design du LDO APMU-LP - regu qui alimente la partie always-on de leur gamme de circuit BlueNRG.,Opportunity,,2025-09-18,27,Negotiating,Won,Deal successfully closed,Icalps_hardware,1116419649,61500.0,61500.0,11945,18078.0,TBD,TBD,icalps_migration_20250918_1203,READY,HUBSPOT_VALIDATED
6076,accès license calibre,2000.0,100,Desogn_Service,,Besoin pour 2 semaines,Opportunity,2025-09-18 04:32:00,2025-09-18,27,Negotiating,Won,Deal successfully closed,Icalps_hardware,1116419649,2000.0,2000.0,14146,17058.0,TBD,TBD,icalps_migration_20250918_1203,READY,HUBSPOT_VALIDATED
6077,ACAMAR : complement FPGA,12000.0,100,Desogn_Service,,Offre pour FPGA 15 j,Opportunity,,2025-09-18,27,Negotiating,Won,Deal successfully closed,Icalps_hardware,1116419649,12000.0,12000.0,1076,1119.0,TBD,TBD,icalps_migration_20250918_1203,READY,HUBSPOT_VALIDATED
6078,Extension Devis D-Saturn,155000.0,100,Desogn_Service,,"Le périmètre à changé :
Des fonction en plus, des modification de spécifications : 155 k€ ( 85 k€ déjà commandés)",Opportunity,2025-09-18 12:00:00,2025-09-18,27,Negotiating,Won,Deal successfully closed,Icalps_hardware,1116419649,155000.0,155000.0,9061,13814.0,TBD,TBD,icalps_migration_20250918_1203,READY,HUBSPOT_VALIDATED
6079,Bloc Analog: Clock generator,50000.0,0,Desogn_Service,,"Design d'un bloc en VIS 130 nm 
devis 12 M.w

Finalement, sera fait en interne chez Crocus",Opportunity,2025-09-18 15:22:00,2025-09-18,27,Negotiating,Abandonne,Moved to Closed Dead (abandoned + low certainty),Icalps_hardware,1116419650,50000.0,0.0,9061,13814.0,TBD,TBD,icalps_migration_20250918_1203,READY,HUBSPOT_VALIDATED
