record_id,deal_name,pipeline,deal_stage,deal_status,transformation_notes,deal_amount,deal_forecast,deal_certainty,deal_type,deal_source,deal_brand,deal_notes,deal_category,deal_created_date,deal_close_date,deal_company_id,deal_contact_id,deal_owner,original_stage,original_status,processing_date
2012,ACAMAR Prototypage,Sales Pipeline,Closed Won,Won,Deal successfully closed,315000.0,315000.0,100,FTK,,ICALPS,Prototypage,Opportunity,,2025-09-18,1076,1050.0,27,Negotiating,Won,18/09/2025
2013,Etude exploratoire,Studies Pipeline,Closed Won,Won,Deal successfully closed,15000.0,15000.0,100,Preetude,,ICALPS,Etude faisa,Study,,2025-09-18,1076,1050.0,27,Negotiating,Won,18/09/2025
2014,NEKKAR : Pré-étude,Studies Pipeline,Closed Won,Won,Deal successfully closed,36000.0,36000.0,100,Preetude,,ICALPS,pré-étude en vu du développement d'un ASIC,Study,,2025-09-18,4196,4303.0,27,Negotiating,Won,18/09/2025
2015,FIDIS : pré-étude,Studies Pipeline,Identified,In Progress,Default mapping applied,10000.0,10000.0,100,Preetude,,ICALPS,Offre de prestation à 1250 € / jour par intervenant,Study,,2025-09-18,4202,4310.0,27,Negotiating,Abandonne,18/09/2025
3014,Acamar : phase 3 pré-étude,Studies Pipeline,Closed Won,Won,Deal successfully closed,18000.0,18000.0,100,Preetude,,ICALPS,Suite,Study,,2025-09-18,1076,1050.0,27,Negotiating,Won,18/09/2025
4014,MIRA-ACQ: ASIC,Sales Pipeline,Closed Won,Won,Deal successfully closed,1705000.0,1705000.0,100,FTK,,ICALPS,développement de l'ASIC ACQ,Opportunity,2025-09-18 01:29:00,2025-09-18,3179,3284.0,27,Negotiating,Won,18/09/2025
4015,MIRA-PULSE: ASIC,Sales Pipeline,Closed Won,Won,Deal successfully closed,903000.0,903000.0,100,FTK,,ICALPS,Développement de l'ASIC PULSE,Opportunity,2025-09-18 02:25:00,2025-09-18,3179,3284.0,27,Negotiating,Won,18/09/2025
4016,VEGA,Sales Pipeline,Identified,In Progress,Default mapping applied,0.0,0.0,30,FTK,,ICALPS,Sélection des IP,Opportunity,,2025-09-18,1119,1146.0,27,Qualified,Abandonne,18/09/2025
4017,NAOS : Préétude,Studies Pipeline,Closed Dead,Lost,Moved to Closed Dead (abandoned + low certainty),100000.0,100000.0,1,Preetude,,ICALPS,Etude intégration,Study,,2025-09-18,4349,4754.0,27,Qualified,Abandonne,18/09/2025
4018,ISIDA - Préétude,Studies Pipeline,Closed Won,Won,Deal successfully closed,90000.0,90000.0,100,Preetude,,ICALPS,Développement ASIC,Study,,2025-09-18,1132,1175.0,27,Negotiating,Won,18/09/2025
4020,Projet ASIC,Sales Pipeline,Closed Dead,Lost,Moved to Closed Dead (abandoned + low certainty),0.0,0.0,1,FTK,,ICALPS,Projet ASIC Spatial...,Opportunity,,2025-09-18,1150,1222.0,27,Identification,Abandonne,18/09/2025
4021,AFE pour cardio - préétude,Sales Pipeline,Closed Dead,Lost,Moved to Closed Dead (abandoned + low certainty),0.0,0.0,1,FTK,,ICALPS,Réalisation de l'AFE pour capteurs CSEM,Opportunity,2025-09-18 04:35:00,2025-09-18,1128,1166.0,27,Identification,Abandonne,18/09/2025
4022,ALFIRK,Sales Pipeline,Closed Dead,Lost,Moved to Closed Dead (abandoned + low certainty),1320000.0,1320000.0,5,FTK,,ICALPS,Migration de 6 FPGA,Opportunity,2025-09-18 06:10:00,2025-09-18,4311,8425.0,27,Construction offre,Abandonne,18/09/2025
4023,TEREBELL : Service Design&Layout,Sales Pipeline,Closed Dead,Lost,Moved to Closed Dead (abandoned + low certainty),0.0,0.0,1,Desogn_Service,,ICALPS,"CDC reçu
----

Ils ont finalement décidé de monter une équipe ASIC en interne.
Sont incubé dans Silicon Catalyste (incubateur spécialisé dans les startup souhaitant faire des circuits intégrés)",Opportunity,,2025-09-18,7987,9603.0,27,Identification,Abandonne,18/09/2025
4024,ASIC conversion CU/FO,Sales Pipeline,Closed Dead,Lost,Moved to Closed Dead (abandoned + low certainty),0.0,0.0,1,FTK,,ICALPS,A un composant en obsolescence : On ne saura pas faire l'IP,Opportunity,,2025-09-18,1081,1070.0,27,Identification,Abandonne,18/09/2025
5024,ASIC Automotive PMU,Sales Pipeline,Closed Dead,Lost,Moved to Closed Dead (abandoned + low certainty),0.0,0.0,0,FTK,,ICALPS,"CDC reçu le 17/10/2018

Abandon : 
On ne se positionne pas car les IP orientés automobile (CAN, LIN) ne sont pas disponibles pour nous. Tentative de prise de contact avec créative chips pour voir comment ils auraient pu nous aider => resté sans réponse de leur part. 
Conséquence, nous ne sommes pas en mesure de faire une offre compétitive.",Opportunity,,2025-09-18,9046,10749.0,27,Identification,Abandonne,18/09/2025
5025,CASTOR : Migration HALO - CT450,Sales Pipeline,Closed Dead,Lost,Moved to Closed Dead (abandoned + low certainty),200000.0,200000.0,1,Desogn_Service,,ICALPS,"Redéfinition du projet pour limiter le budget à < 200 k€
---
Abandonné par le client.
D'autres projets en priorité",Opportunity,2025-09-18 11:49:00,2025-09-18,9061,13814.0,27,Evaluation technique,Abandonne,18/09/2025
5026,ASIC implant,Sales Pipeline,Closed Dead,Lost,Moved to Closed Dead (abandoned + low certainty),0.0,0.0,1,FTK,,ICALPS,ASIC pour implant avec monitoring tension et com et recharge RF,Opportunity,2025-09-18 09:05:00,2025-09-18,9020,10690.0,27,Identification,Abandonne,18/09/2025
6028,TYL,Sales Pipeline,Closed Dead,Lost,Moved to Closed Dead (abandoned + low certainty),57500.0,57500.0,1,Desogn_Service,,ICALPS,Développement logique,Opportunity,2025-09-18 05:24:00,2025-09-18,1074,1046.0,27,Construction offre,Abandonne,18/09/2025
6029,Backend gros circuit 28FDSOI,Sales Pipeline,Closed Dead,Lost,Moved to Closed Dead (abandoned + low certainty),0.0,0.0,1,Desogn_Service,,ICALPS,"pour projet SPA, il cherche des partenaires :
•         Capables de gérer des gros circuits (il parle de circuit de 150 à 200 mm2 en 28FDSOI) , pouvant faire tout le Bacakend
=> Il faudra rentrer chez ST sur techno FDSOI28 avant d'être consulté pour la partie Space en complément de EASII",Opportunity,,2025-09-18,4287,4556.0,27,Identification,Abandonne,18/09/2025
6030,ASIC pour DAC X-IFU,Sales Pipeline,Closed Dead,Lost,Moved to Closed Dead (abandoned + low certainty),0.0,0.0,0,Desogn_Service,,ICALPS,"Réalisation ASIC analog
--
Abandonné (réponse Aurélien) : 
Bonjour Rémy,
Oui, j’ai enfin une position ferme sur le DAC.

Le DAC à développer était pour la solution FDM qui était la Baseline. 
La solution FDM qui était plus élégante mais a rencontré plusieurs problèmes rendant le risque inacceptable. 

Le projet a donc pris la décision de passer en TDM juste avant le confinement rendant le besoin de développer un DAC nul.",Opportunity,,2025-09-18,2160,7098.0,27,Identification,Abandonne,18/09/2025
6031,Développement ASIC ULP (CHARA),Sales Pipeline,Closed Won,Won,Deal successfully closed,1430000.0,1430000.0,100,FTK,,ICALPS,"ASIC pour la fonction Pacing avec multiples blocs de monitoring et controle du Dispositif Medical.

Projet ISO13485",Opportunity,,2025-09-18,3176,3277.0,27,Negotiating,Won,18/09/2025
6032,pré-étude ASIC - part1,Studies Pipeline,Identified,In Progress,Default mapping applied,30000.0,30000.0,80,Preetude,,ICALPS,"Sur base du circuit TUDeltf
design review, manufacturablilité, plan pour en faire un produit, potentiel d’optimisation, IP, industrialisation…",Study,,2025-09-18,3187,3294.0,27,Identification,Abandonne,18/09/2025
6033,pré-étude ASIC - part 2,Studies Pipeline,Closed Dead,Lost,Moved to Closed Dead (abandoned + low certainty),60000.0,60000.0,1,Preetude,,ICALPS,Base LIU,Study,,2025-09-18,3187,3294.0,27,Identification,Abandonne,18/09/2025
6034,ACAMAR Seconde archi,Studies Pipeline,Closed Won,Won,Deal successfully closed,20000.0,20000.0,100,Preetude,,ICALPS,Ajout d'une seconde architecture dans le testchip,Study,,2025-09-18,1076,1050.0,27,Negotiating,Won,18/09/2025
6035,Industrialisation ASIC,Sales Pipeline,Closed Dead,Lost,Moved to Closed Dead (abandoned + low certainty),495000.0,495000.0,5,FTK,,ICALPS,"Outre le GDS , de quelles informations auriez-vous besoin pour nous faire un chiffrage de la phase d’industrialisation comprenant la réalisation de 25 wafers chez Tower , et , la sous-traitance de la partie bumping sciage , amincissement et test électrique ?
Une telle offre est-elle envisageable vis-à-vis de Tower ?",Opportunity,,2025-09-18,1154,1231.0,27,Construction offre,Abandonne,18/09/2025
6036,SIRRAH : ASIC VGA,Sales Pipeline,Closed Lost,Lost,Deal closed as lost,595000.0,595000.0,0,,,ICALPS,"Spec to GDSII.
--------
Selection d'un autre partenaire (prix ?)",Opportunity,,2025-09-18,11747,14218.0,27,Construction offre,Lost,18/09/2025
6037,ASIC pour micropompe,Sales Pipeline,Closed Dead,Lost,Moved to Closed Dead (abandoned + low certainty),0.0,0.0,1,FTK,,ICALPS,A un projet d'ASIC (sera lancé d'ici 18 mois) pour intégrer plus leur électronique. Il y a une partie HV (200V) dans le design et souhaiterait ajouter des interfaces capteurs et un micro. Envoi info puis organiser un WebEx,Opportunity,,2025-09-18,10541,12792.0,27,Identification,Abandonne,18/09/2025
6038,SADOR,Sales Pipeline,Closed Won,Won,Deal successfully closed,25000.0,25000.0,100,Desogn_Service,,ICALPS,Etude performance ASIC processeur neuronal,Opportunity,,2025-09-18,10525,12764.0,27,Negotiating,Won,18/09/2025
6039,pré-étude ASIC,Studies Pipeline,Closed Dead,Lost,Moved to Closed Dead (abandoned + low certainty),0.0,0.0,1,Preetude,,ICALPS,"Sont en COTS pour leur système EEG.

""Nous avons reporté le développement d’un ASIC propriétaire afin d’assurer la collecte de datas préliminaires suffisantes pour permettre de resserrer les spécifications techniques de notre électronique pour l’application clinique, ce qui devrait permettre de renforcer la faisabilité du design et de l’intégration finale.
Nous reviendrons vers vous pour consultation dès que nous aurons obtenu suffisamment de données précliniques afin de rediscuter de ces points autour d’objectifs technologiques mieux définis au vue de l’application, probablement pas avant la fin 2021.""

ASIC pas avant fin 2021",Study,,2025-09-18,4201,4308.0,27,Identification,Abandonne,18/09/2025
6040,MIRA-PULSE: pièce méca,Sales Pipeline,Closed Won,Won,Deal successfully closed,8000.0,8000.0,100,FTK,,ICALPS,relatif à l'offre de pièce mecanique et daisy chain,Opportunity,,2025-09-18,3179,3284.0,27,Negotiating,Won,18/09/2025
6041,Pré-étude ASIC,Studies Pipeline,Closed Won,Won,Deal successfully closed,38000.0,38000.0,100,Preetude,,ICALPS,Pour dispositif Haptique,Study,2025-09-18 14:04:00,2025-09-18,9065,14489.0,27,Negotiating,Won,18/09/2025
6043,Migration,Sales Pipeline,Closed Dead,Lost,Moved to Closed Dead (abandoned + low certainty),0.0,0.0,1,FTK,,ICALPS,Migration circuit GF130 obsolète en autre process,Opportunity,2025-09-18 11:02:00,2025-09-18,11748,14219.0,34,Identification,Abandonne,18/09/2025
6044,VEGA -Design,Sales Pipeline,Closed Lost,Lost,Deal closed as lost,3200000.0,3200000.0,1,,,ICALPS,Développement circuit logique,Opportunity,2025-09-18 15:32:00,2025-09-18,1119,1146.0,27,Negotiating,Lost,18/09/2025
6045,ELNATH,Sales Pipeline,Closed Won,Won,Deal successfully closed,107000.0,107000.0,100,FTK,,ICALPS,Testchip pour eFPGA,Opportunity,,2025-09-18,11929,14684.0,27,Negotiating,Won,18/09/2025
6046,MOPx,Studies Pipeline,Closed Dead,Lost,Moved to Closed Dead (abandoned + low certainty),0.0,0.0,1,Preetude,,ICALPS,Client potentiel,Study,2025-09-18 12:08:00,2025-09-18,4331,4722.0,27,Identification,Abandonne,18/09/2025
6047,MOPx,Studies Pipeline,Closed Dead,Lost,Moved to Closed Dead (abandoned + low certainty),0.0,0.0,1,Preetude,,ICALPS,Intérêt dans MOPIC,Study,2025-09-18 17:17:00,2025-09-18,5779,14726.0,27,Identification,Abandonne,18/09/2025
6048,Mopx,Studies Pipeline,Closed Dead,Lost,Moved to Closed Dead (abandoned + low certainty),0.0,0.0,1,Preetude,,ICALPS,Partenaire dans dépot FTI,Study,,2025-09-18,4230,14925.0,27,Identification,Abandonne,18/09/2025
6049,MOPx,Studies Pipeline,Closed Dead,Lost,Moved to Closed Dead (abandoned + low certainty),0.0,0.0,1,Preetude,,ICALPS,Intérêt MOPx,Study,,2025-09-18,1146,14735.0,27,Identification,Abandonne,18/09/2025
6050,UW9,Sales Pipeline,Closed Dead,Lost,Moved to Closed Dead (abandoned + low certainty),0.0,0.0,1,FTK,,ICALPS,Migration ASIC,Opportunity,2025-09-18 03:03:00,2025-09-18,2147,2205.0,27,Identification,Abandonne,18/09/2025
6051,Migration FPGA,Sales Pipeline,Closed Dead,Lost,Moved to Closed Dead (abandoned + low certainty),0.0,0.0,1,Desogn_Service,,ICALPS,FPGA + analog,Opportunity,2025-09-18 15:56:00,2025-09-18,7965,9544.0,27,Identification,Abandonne,18/09/2025
6053,projet SATURN,Sales Pipeline,Closed Won,Won,Deal successfully closed,85000.0,85000.0,100,Desogn_Service,,ICALPS,développement interfaces digital (SPI/ABZ/HSM/memory Array/Angle engine extraction),Opportunity,,2025-09-18,9061,13814.0,27,Negotiating,Won,18/09/2025
6054,MIRA-ACQ: pièce meca et Daisy Chain,Sales Pipeline,Closed Won,Won,Deal successfully closed,9000.0,9000.0,100,FTK,,ICALPS,"offre pour 
pièce meca : 9k€
Daisy chain : 16 k€
hold à contact : 0€",Opportunity,,2025-09-18,3179,4726.0,27,Negotiating,Won,18/09/2025
6055,projet VIPER,Sales Pipeline,Closed Dead,Lost,Moved to Closed Dead (abandoned + low certainty),100000.0,100000.0,1,Desogn_Service,,ICALPS,"portage GF 130 > TOWER 130

Circuit analog en boucle fermé, capteur angulaire Magnétique
Plus de nouvelle de ce circuit",Opportunity,2025-09-18 06:56:00,2025-09-18,9061,13814.0,27,Identification,Abandonne,18/09/2025
6056,Migration ASIC,Studies Pipeline,Identified,In Progress,Default mapping applied,45000.0,45000.0,50,Preetude,,ICALPS,Migration ASIC digital,Study,,2025-09-18,1057,1014.0,27,Negotiating,Abandonne,18/09/2025
6057,ASIC médical,Sales Pipeline,Closed Dead,Lost,Moved to Closed Dead (abandoned + low certainty),0.0,0.0,1,FTK,,ICALPS,Attente spec,Opportunity,,2025-09-18,10543,12795.0,27,Identification,Abandonne,18/09/2025
6058,RFI ASIC,Sales Pipeline,Closed Dead,Lost,Moved to Closed Dead (abandoned + low certainty),1800000.0,1800000.0,10,FTK,,ICALPS,Possibilité reprise circuit HMT,Opportunity,,2025-09-18,9050,10767.0,27,Construction offre,Abandonne,18/09/2025
6059,VIMES,Sales Pipeline,Identified,In Progress,Default mapping applied,500000.0,500000.0,50,FTK,,ICALPS,Asic pour imprimante,Opportunity,,2025-09-18,12086,14975.0,27,Construction offre,Abandonne,18/09/2025
6060,ASIC design,Sales Pipeline,Closed Dead,Lost,Moved to Closed Dead (abandoned + low certainty),0.0,0.0,1,FTK,,ICALPS,ASIC pour implant crânien alimenté en wireless pour ECG et EcoG,Opportunity,2025-09-18 04:11:00,2025-09-18,12058,14927.0,27,Identification,Abandonne,18/09/2025
6061,Migration Std cell,Sales Pipeline,Closed Won,Won,Deal successfully closed,149000.0,149000.0,100,Desogn_Service,,ICALPS,"Portage 2 bilitohèque Asynchrone en 
* GF22nm 
* TSMC 16FFC",Opportunity,,2025-09-18,9103,10859.0,27,Negotiating,Won,18/09/2025
6062,Prototypage : ASIC development neuroprocesseur,Sales Pipeline,Closed Dead,Lost,Moved to Closed Dead (abandoned + low certainty),1425000.0,1425000.0,5,,,ICALPS,"Phase 1 : Prototypage
Projet retardé de fin 2019 à mi-2020 minimum",Opportunity,,2025-09-18,3175,4728.0,31,Qualified,Abandonne,18/09/2025
6063,KHARA,Sales Pipeline,Identified,In Progress,Default mapping applied,50000.0,50000.0,30,FTK,,ICALPS,Conception ASIC : AFE + DAC. Préétude,Opportunity,,2025-09-18,9135,14215.0,27,Construction offre,Abandonne,18/09/2025
6064,ACAMAR : FPGA,Sales Pipeline,Closed Won,Won,Deal successfully closed,24000.0,24000.0,100,Desogn_Service,,ICALPS,Conception FPGA démo,Opportunity,2025-09-18 00:17:00,2025-09-18,1076,1119.0,27,Negotiating,Won,18/09/2025
6065,Support: Diagnostic PMIC,Sales Pipeline,Closed Dead,Lost,Moved to Closed Dead (abandoned + low certainty),70000.0,70000.0,1,Desogn_Service,,ICALPS,"Sur un biz model au temps passé

2 morceaux
- analyse schéma + simu (30 k)
- dev env mesure + réalisation des mesure (30 k)
- 10 k appro board de test

PERDUE : projection de volume trop faible ne justifiant pas l'investissement dans un diagnostic payant.",Opportunity,2025-09-18 13:08:00,2025-09-18,7988,17042.0,27,Negotiating,Abandonne,18/09/2025
6066,Pièces et carte sup,Sales Pipeline,Closed Won,Won,Deal successfully closed,6750.0,6750.0,100,FTK,,ICALPS,demandes complémentaires,Opportunity,2025-09-18 11:33:00,2025-09-18,1076,1119.0,27,Negotiating,Won,18/09/2025
6067,Bloc digital + SW pour ASIC imageur,Sales Pipeline,Closed Lost,Lost,Deal closed as lost,407500.0,407500.0,25,,,ICALPS,"RFI reçue le 11/06.

Selection partenaire à fin juin.
Démarrage travaux prévue en juillet",Opportunity,2025-09-18 13:26:00,2025-09-18,9016,18059.0,27,Negotiating,Lost,18/09/2025
6068,Etude faisabilité,Sales Pipeline,Closed Dead,Lost,Moved to Closed Dead (abandoned + low certainty),50000.0,50000.0,1,FTK,,ICALPS,ASIC traitement du signal,Opportunity,2025-09-18 23:29:00,2025-09-18,12062,14934.0,27,Identification,Abandonne,18/09/2025
6069,EM01,Sales Pipeline,Identified,In Progress,Default mapping applied,26200.0,26200.0,50,Desogn_Service,,ICALPS,"Besoin un layouteur 2 mois

A une ressource interne qui s'est libérée",Opportunity,,2025-09-18,7980,18074.0,27,Negotiating,Abandonne,18/09/2025
6070,ACAMAR - Tranches remplacement,Sales Pipeline,Closed Won,Won,Deal successfully closed,33000.0,33000.0,100,FTK,,ICALPS,Remplacement des tranches détruites durant la production,Opportunity,,2025-09-18,1076,1119.0,27,Negotiating,Won,18/09/2025
6071,Industrialisation : ASIC neuromorphic,Sales Pipeline,Closed Dead,Lost,Moved to Closed Dead (abandoned + low certainty),2350000.0,2350000.0,1,FTK,,ICALPS,"Phase 2 : industrialisation
=> Pas de visiblité sur l'indus... trop loin.",Opportunity,2025-09-18 14:58:00,2025-09-18,3175,4728.0,27,Identification,Abandonne,18/09/2025
6075,design BlueNRG - Regu APMU-LP,Sales Pipeline,Closed Won,Won,Deal successfully closed,61500.0,61500.0,100,Desogn_Service,,ICALPS,Design du LDO APMU-LP - regu qui alimente la partie always-on de leur gamme de circuit BlueNRG.,Opportunity,,2025-09-18,11945,18078.0,27,Negotiating,Won,18/09/2025
6076,accès license calibre,Sales Pipeline,Closed Won,Won,Deal successfully closed,2000.0,2000.0,100,Desogn_Service,,ICALPS,Besoin pour 2 semaines,Opportunity,2025-09-18 04:32:00,2025-09-18,14146,17058.0,27,Negotiating,Won,18/09/2025
6077,ACAMAR : complement FPGA,Sales Pipeline,Closed Won,Won,Deal successfully closed,12000.0,12000.0,100,Desogn_Service,,ICALPS,Offre pour FPGA 15 j,Opportunity,,2025-09-18,1076,1119.0,27,Negotiating,Won,18/09/2025
6078,Extension Devis D-Saturn,Sales Pipeline,Closed Won,Won,Deal successfully closed,155000.0,155000.0,100,Desogn_Service,,ICALPS,"Le périmètre à changé :
Des fonction en plus, des modification de spécifications : 155 k€ ( 85 k€ déjà commandés)",Opportunity,2025-09-18 12:00:00,2025-09-18,9061,13814.0,27,Negotiating,Won,18/09/2025
6079,Bloc Analog: Clock generator,Sales Pipeline,Closed Dead,Lost,Moved to Closed Dead (abandoned + low certainty),50000.0,50000.0,0,Desogn_Service,,ICALPS,"Design d'un bloc en VIS 130 nm 
devis 12 M.w

Finalement, sera fait en interne chez Crocus",Opportunity,2025-09-18 15:22:00,2025-09-18,9061,13814.0,27,Negotiating,Abandonne,18/09/2025
6080,ASIC development RFP,Sales Pipeline,Closed Lost,Lost,Deal closed as lost,950000.0,950000.0,0,,,ICALPS,"See RFP / RFQ document

--
Your proposal was comprehensive and gave us all the information we requested, many thanks.
As you are aware, there are significant challenges to be overcome in the design, in particular achieving the required current skimming resolution. We found a couple of companies who have previously done this and hence they scored high in our selection criteria. 
At present we have therefore not shortlisted ICAlps. We have not however made our final decision and may want to come back for further discussions. Sorry it’s not better news.
",Opportunity,,2025-09-18,17186,19117.0,27,Negotiating,Lost,18/09/2025
6081,RFI pour ASIC control Radio,Sales Pipeline,Identified,In Progress,Default mapping applied,2300000.0,2300000.0,50,,,ICALPS,RFI à venir de Thales pour dev RTL => GDSII + gestion de la SCM,Opportunity,2025-09-18 19:38:00,2025-09-18,11664,14079.0,31,Evaluation technique,Abandonne,18/09/2025
6082,ACQ2G: nouveau perimètre,Studies Pipeline,Closed Won,Won,Deal successfully closed,66000.0,66000.0,100,Preetude,,ICALPS,"Nouveau périmètre.
75 k€ reportés de la précédente offre + 66 k€ d'extension de budget",Study,,2025-09-18,3179,3284.0,27,Negotiating,Won,18/09/2025
6083,GRENAT,Sales Pipeline,Closed Won,Won,Deal successfully closed,2038000.0,2038000.0,100,FTK,,ICALPS,Implémentation physique et SC,Opportunity,2025-09-18 04:37:00,2025-09-18,4247,19104.0,27,Negotiating,Won,18/09/2025
6084,ASIC HV developement and supply,Sales Pipeline,Closed Lost,Lost,Deal closed as lost,0.0,0.0,0,,,ICALPS,"- of the 500+ outputs, 90% is high voltage outputs and 10% is I/O. From the 10% only 20% is digital. 
- Analog output currents  are 8mA per output
- The signal accuracy could be estimated at around 5% current source source accuracy, 200mV max tolerance on high voltage output.
- The HV voltage IO must leave on one side of the asic only. The bumps can be staggered in more rows. The Voltage Common Collector  supply voltage is 50V
- Size of the two ASICs is larger than the usable reticle space",Opportunity,,2025-09-18,17208,19159.0,27,Identification,Lost,18/09/2025
6085,GENESIS: ASIC (Moduleus),Sales Pipeline,Closed Dead,Lost,Moved to Closed Dead (abandoned + low certainty),0.0,0.0,0,FTK,,ICALPS,"Developpement potentiel de 2 ASIC pour une nouvelle application

Specification à confirmer.
----
Projet Abandonné : il sera réalisé en COTS.",Opportunity,,2025-09-18,3179,3284.0,27,Identification,Abandonne,18/09/2025
6086,RFI for 1 to 2 FPGA design,Sales Pipeline,Closed Dead,Lost,Moved to Closed Dead (abandoned + low certainty),0.0,0.0,1,Desogn_Service,,ICALPS,"RFI à recevoir
---
Thierry a reprit le compte.",Opportunity,,2025-09-18,1074,19175.0,27,Identification,Abandonne,18/09/2025
6088,ACAMAR FPGA (fonction sup),Sales Pipeline,Identified,In Progress,Default mapping applied,7500.0,7500.0,90,Desogn_Service,,ICALPS,Fonction supplémentaire du FPGA,Opportunity,,2025-09-18,1076,1119.0,27,Construction offre,Abandonne,18/09/2025
6089,ASIC empreinte,Sales Pipeline,Closed Dead,Lost,Moved to Closed Dead (abandoned + low certainty),0.0,0.0,10,FTK,,ICALPS,ASIC pour aller avec leur capteur,Opportunity,,2025-09-18,1115,1137.0,27,Identification,Abandonne,18/09/2025
6090,Pré-étude PULSE v2,Studies Pipeline,Closed Dead,Lost,Moved to Closed Dead (abandoned + low certainty),0.0,0.0,1,Preetude,,ICALPS,"Pré-étude pour une deuxième version de PULSE.
Objectif : Réduction de taille, réduction de consommation

Sera à faire sur Mars, Avril, Mai 2020 => décalée car changement de priorité

=>Pas d'actualité à fin 2020. probablement remis à 2022 ou plus tard.",Study,,2025-09-18,3179,3284.0,27,Identification,Abandonne,18/09/2025
6091,Reprise PULSE,Sales Pipeline,Closed Won,Won,Deal successfully closed,155000.0,155000.0,100,FTK,,ICALPS,"Reprise du circuit PULSE v1.1 suite préétude.
Option Mfix et Reprise",Opportunity,2025-09-18 01:06:00,2025-09-18,3179,3284.0,27,Negotiating,Won,18/09/2025
6092,Reprise ACQ,Sales Pipeline,Closed Won,Won,Deal successfully closed,199000.0,199000.0,100,FTK,,ICALPS,proposition Mfix et Reprise de ACQ.,Opportunity,2025-09-18 02:08:00,2025-09-18,3179,3284.0,27,Negotiating,Won,18/09/2025
6093,Gemma,Sales Pipeline,Closed Won,Won,Deal successfully closed,57000.0,57000.0,100,Desogn_Service,,ICALPS,Consulting,Opportunity,,2025-09-18,10391,19199.0,27,Negotiating,Won,18/09/2025
6094,TANIA,Sales Pipeline,Closed Lost,Lost,Deal closed as lost,220000.0,220000.0,1,,,ICALPS,FPGA. Perdu. On n'a pas le statut de PME,Opportunity,,2025-09-18,1074,19106.0,27,Negotiating,Lost,18/09/2025
